event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups
2026-01-07T20:02:18.954Z,PEER_PING_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:19.004Z,PROTOCOL_NEGOTIATED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:19.126Z,RPC_IN_REQUEST,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:19.126Z,RPC_OUT_RESPONSE,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:19.127Z,PEER_PING_RECEIVED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:19.929Z,BEACON_AGGREGATE_AND_PROOF_RECEIVED,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:19.929Z,VALIDATOR_IDENTIFIED_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:24.269Z,DIAL_CHECK_START,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:24.269Z,DIAL_ATTEMPT_START,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,201.0,
2026-01-07T20:02:24.269Z,DISCOVERY_DIAL_DECISION,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,
